Season,TeamID,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMss,OppOss,OppDss,AdjEMnc
2016,1234,+1.28,116.1,95.9,68.8,-0.071,+1.28,110.2,101.1,+1.28
2014,1372,-4.19,112.3,101.5,61.2,+.073,-4.19,102,109.2,-4.19
2010,1429,+0.16,116,96.1,59.8,-0.026,+0.16,105,103.2,+0.16
2015,1385,-1.5,110.7,97,66.7,+.050,-1.5,109,100.3,-1.5
2013,1396,+0.82,111.3,98.6,65.6,+.038,+0.82,105.7,100.2,+0.82
2015,1211,+3.00,121.7,93.9,64.7,+.018,+3.00,107.3,102.9,+3.00
2008,1435,-1.7,112.3,99.6,68.2,+.110,-1.7,107.4,102.2,-1.7
2012,1301,+1.18,112.1,97.9,67,-0.004,+1.18,105.9,99.7,+1.18
2011,1277,+6.70,109.5,94.4,65,+.010,+6.70,111,97.3,+6.70
2010,1317,-2.96,103.4,103.8,67.4,+.113,-2.96,99.9,105.7,-2.96
2008,1163,-1.27,115.2,96.3,67.1,-0.001,-1.27,107.7,100,-1.27
2012,1323,-4.28,110.9,96.7,60.2,+.032,-4.28,106.4,99.4,-4.28
2005,1412,+1.33,109.2,96.7,71,-0.001,+1.33,105.5,100.7,+1.33
2006,1452,-0.49,116.1,96.6,62.5,-0.046,-0.49,108.4,98,-0.49
2015,1320,+0.61,116.3,95.3,58.2,+.018,+0.61,104.4,103,+0.61
2006,1301,-7.99,112.5,96.6,64.4,+.013,-7.99,107.1,100.3,-7.99
2017,1242,+2.39,121.9,94.5,70.2,+.067,+2.39,111.2,98.8,+2.39
2002,1150,+6.49,114.2,98.5,66.8,-0.008,+6.49,107.5,98.3,+6.49
2012,1281,-6.18,125.1,99.8,65.4,+.017,-6.18,105.7,99.9,-6.18
2004,1418,+10.92,109.2,99,69.1,+.006,+10.92,103.8,103,+10.92
2016,1160,-2.15,108.8,95.9,69,+.015,-2.15,109.5,102,-2.15
2004,1181,+2.42,120.8,88.5,67.7,-0.028,+2.42,109.5,96.9,+2.42
2017,1292,+14.95,112.2,97.2,64.6,+.011,-0.93,104.4,105.3,+3.86
2009,1268,-3.29,110,96.4,66.3,+.039,-3.29,108.3,98.7,-3.29
2016,1452,+0.72,115.3,90.9,69.5,+.003,+0.72,110.9,99.6,+0.72
2007,1390,-0.33,109.7,97.3,65.9,+.028,-0.33,109.2,99.7,-0.33
2017,1266,-2.16,120.8,104.2,70.1,-0.058,-2.16,109.1,100.1,-2.16
2015,1434,-3.69,107.4,96.3,62.3,+.053,-3.69,104.2,106.3,-3.69
2016,1400,+5.55,113,96.8,65.3,+.022,+5.55,111.5,99,+5.55
2004,1433,+0.29,105.6,96.5,64.4,+.076,+0.29,102.3,102.6,+0.29
2008,1388,+2.34,109.2,94.6,66.4,+.030,+2.34,103.4,103.3,+2.34
2012,1163,-0.46,111.3,96.8,63,-0.032,-0.46,107.3,99.1,-0.46
2011,1393,-2.31,114.9,92.4,64.6,+.032,-2.31,108.3,99.3,-2.31
2013,1112,+1.45,115.4,93.5,65.5,-0.012,+1.45,106.4,98.5,+1.45
