NCAA,ESPN,ESPN_PBP,conference,network_col,kenpom
Saint Mary's (CA),Saint Mary's,Saint Mary's,WCC,royalblue3,saintmary's(ca)
Saint Peter's,St Peter's,Saint Peter's,MAAC,skyblue,saintpeter's
Sam Houston St.,Sam Houston,Sam Houston State,Southland,orange,samhoustonst.
Samford,Samford,Samford,Southern,grey,samford
San Diego,San Diego,San Diego,WCC,white,sandiego
San Diego St.,San Diego State,San Diego State,MWC,red,sandiegost.
San Francisco,San Francisco,San Francisco,WCC,forestgreen,sanfrancisco
San Jose St.,San Jose State,San Jose State,MWC,blue,sanjosest.
Santa Clara,Santa Clara,Santa Clara,WCC,grey,santaclara
Savannah St.,Savannah State,Savannah State,MEAC,purple,savannahst.
Seattle U,Seattle,Seattle,WAC,red,seattleu
Seton Hall,Seton Hall,Seton Hall,Big East,blue,setonhall
SFA,SF Austin,Stephen F. Austin,Southland,purple,sfa
Siena,Siena,Siena,MAAC,seagreen,siena
SIUE,SIUE,SIU-Edwadsville,OVC,red,siue
SMU,SMU,SMU,AAC,red,smu
South Ala.,South Alabama,South Alabama,Sunbelt,white,southala.
South Carolina,South Carolina,South Carolina,SEC,maroon,southcarolina
South Carolina St.,S Carolina St,South Carolina State,MEAC,purple,southcarolinast.
South Dakota,South Dakota,South Dakota,Summit,red,southdakota
South Dakota St.,South Dakota St,South Dakota State,Summit,blue,southdakotast.
South Fla.,USF,South Florida,AAC,forestgreen,southfla.
Southeast Mo. St.,SE Missouri St,Southeast Missouri,OVC,red,southeastmo.st.
Southeastern La.,SE Louisiana,SE Louisiana,Southland,gold,southeasternla.
Southern California,USC,USC,Pac 12,maroon,southerncalifornia
Southern Ill.,S Illinois,Southern Illinois,MVC,maroon,southernill.
Southern Miss.,Southern Miss,Southern Miss,C-USA,gold,southernmiss.
Southern U.,Southern,Southern,SWAC,royalblue1,southernu.
Southern Utah,Southern Utah,Southern Utah,Big Sky,white,southernutah
St. Bonaventure,St Bonaventure,St. Bonaventure,A-10,maroon,st.bonaventure
St. Francis Brooklyn,St Francis (BKN),St. Francis (BKN),NEC,red,st.francisbrooklyn
St. John's (NY),St John's,St. John's,Big East,red,st.john's(ny)
Stanford,Stanford,Stanford,Pac 12,firebrick2,stanford
Stetson,Stetson,Stetson,A-Sun,seagreen,stetson
Stony Brook,Stony Brook,Stony Brook,Am. East,red,stonybrook
Syracuse,Syracuse,Syracuse,ACC,orange,syracuse
TCU,TCU,TCU,Big 12,purple,tcu
Temple,Temple,Temple,AAC,maroon,temple
Tennessee,Tennessee,Tennessee,SEC,orange,tennessee
Tennessee St.,Tennessee St,Tennessee St,OVC,orange,tennesseest.
Tennessee Tech,Tenn Tech,Tennessee Tech,OVC,purple,tennesseetech
Texas,Texas,Texas,Big 12,orange,texas
Texas A&M,Texas A&M,Texas A&M,SEC,maroon,texasa&m
Texas Southern,Texas Southern,Texas Southern,SWAC,grey,texassouthern
Texas St.,Texas State,Texas State,Sunbelt,brown,texasst.
Texas Tech,Texas Tech,Texas Tech,Big 12,red,texastech
The Citadel,The Citadel,The Citadel,Southern,skyblue,thecitadel
Toledo,Toledo,Toledo,MAC,royalblue3,toledo
Towson,Towson,Towson,CAA,gold,towson
Troy,Troy,Troy,Sunbelt,maroon,troy
Tulane,Tulane,Tulane,AAC,seagreen,tulane
Tulsa,Tulsa,Tulsa,AAC,blue,tulsa
UAB,UAB,UAB,C-USA,forestgreen,uab
UC Davis,UC Davis,UC Davis,Big West,gold,ucdavis
UC Irvine,UC Irvine,UC Irvine,Big West,gold,ucirvine
UC Riverside,UC Riverside,UC Riverside,Big West,grey,ucriverside
UC Santa Barbara,UCSB,UC Santa Barbara,Big West,royalblue3,ucsantabarbara
UCF,UCF,UCF,AAC,gold,ucf
UCLA,UCLA,UCLA,Pac 12,skyblue,ucla
UConn,UConn,Connecticut,AAC,royalblue3,connecticut
UMass Lowell,UMass Lowell,UMass Lowell,Am. East,royalblue1,umasslowell
UMBC,UMBC,UMBC,Am. East,gold,umbc
UMES,MD-E Shore,Maryland-Eastern Shore,MEAC,maroon,umes
UMKC,UMKC,UMKC,WAC,gold,umkc
UNC Asheville,UNC Asheville,UNC Asheville,Big South,seagreen,uncasheville
UNCG,UNCG,UNCG,Southern,grey,uncg
UNCW,UNC Wilmington,UNC Wilmington,CAA,seagreen,uncw
UNI,Northern Iowa,Northern Iowa,MVC,purple,uni
UNLV,UNLV,UNLV,MWC,red,unlv
