Teams:                                    W   L   T     SOS       PR
339 FLORIDA A&M                                9  25   0    57.69    49.04
340 HOWARD                                    10  23   0    55.62    49.02
341 NORTHERN ARIZONA                           5  27   0    61.15    48.78
342 CHICAGO ST.                                3  29   0    65.02    48.75
343 SOUTH CAROLINA UPSTATE                     7  25   0    57.33    48.36
344 DELAWARE ST.                               4  28   0    56.27    48.16
345 ALCORN ST.                                11  21   0    52.85    47.98
346 COPPIN ST.                                 5  27   0    60.51    47.61
347 SOUTH CAROLINA ST.                        10  22   0    55.68    47.50
348 NORTHWESTERN ST.                           4  25   0    58.11    46.84
349 MISSISSIPPI VALLEY ST.                     4  28   0    57.96    45.72
350 ALABAMA A&M                                3  28   0    58.43    45.16
351 MARYLAND EASTERN SHORE                     7  25   0    56.93    43.85
